,feature_id,feature_type,feature_subtype,year,week,census_block_2010,value
357,weather_average_temperature,,,2015,39,,200.71428571428572
358,weather_average_minimum_temperature,,,2015,39,,166.85714285714286
359,weather_average_maximum_temperature,,,2015,39,,239.71428571428572
360,weather_total_precipitation,,,2015,40,,909
361,weather_average_temperature,,,2015,40,,176.28571428571428
362,weather_average_minimum_temperature,,,2015,40,,149.14285714285714
363,weather_average_maximum_temperature,,,2015,40,,202.28571428571428
364,weather_total_precipitation,,,2015,41,,102
365,weather_average_temperature,,,2015,41,,172.28571428571428
366,weather_average_minimum_temperature,,,2015,41,,121.42857142857143
367,weather_average_maximum_temperature,,,2015,41,,233.57142857142858
368,weather_total_precipitation,,,2015,42,,0
369,weather_average_temperature,,,2015,42,,147.28571428571428
370,weather_average_minimum_temperature,,,2015,42,,100.14285714285714
371,weather_average_maximum_temperature,,,2015,42,,197.71428571428572
372,weather_total_precipitation,,,2015,43,,8
373,weather_average_temperature,,,2015,43,,136.57142857142858
374,weather_average_minimum_temperature,,,2015,43,,85.71428571428571
375,weather_average_maximum_temperature,,,2015,43,,200.0
376,weather_total_precipitation,,,2015,44,,183
377,weather_average_temperature,,,2015,44,,139.42857142857142
378,weather_average_minimum_temperature,,,2015,44,,93.85714285714286
379,weather_average_maximum_temperature,,,2015,44,,178.57142857142858
380,weather_total_precipitation,,,2015,45,,71
381,weather_average_temperature,,,2015,45,,159.42857142857142
382,weather_average_minimum_temperature,,,2015,45,,108.85714285714286
383,weather_average_maximum_temperature,,,2015,45,,214.28571428571428
384,weather_total_precipitation,,,2015,46,,199
385,weather_average_temperature,,,2015,46,,118.14285714285714
386,weather_average_minimum_temperature,,,2015,46,,74.57142857142857
387,weather_average_maximum_temperature,,,2015,46,,159.71428571428572
388,weather_total_precipitation,,,2015,47,,160
389,weather_average_temperature,,,2015,47,,119.85714285714286
390,weather_average_minimum_temperature,,,2015,47,,68.42857142857143
391,weather_average_maximum_temperature,,,2015,47,,159.42857142857142
392,weather_total_precipitation,,,2015,48,,43
393,weather_average_temperature,,,2015,48,,86.57142857142857
394,weather_average_minimum_temperature,,,2015,48,,42.857142857142854
395,weather_average_maximum_temperature,,,2015,48,,146.0
396,weather_total_precipitation,,,2015,49,,323
397,weather_average_temperature,,,2015,49,,75.28571428571429
398,weather_average_minimum_temperature,,,2015,49,,40.714285714285715
399,weather_average_maximum_temperature,,,2015,49,,111.14285714285714
400,weather_total_precipitation,,,2015,50,,0
401,weather_average_temperature,,,2015,50,,98.28571428571429
402,weather_average_minimum_temperature,,,2015,50,,51.57142857142857
403,weather_average_maximum_temperature,,,2015,50,,165.85714285714286
404,weather_total_precipitation,,,2015,51,,140
405,weather_average_temperature,,,2015,51,,95.85714285714286
406,weather_average_minimum_temperature,,,2015,51,,48.57142857142857
407,weather_average_maximum_temperature,,,2015,51,,131.71428571428572
408,weather_total_precipitation,,,2015,52,,595
409,weather_average_temperature,,,2015,52,,143.71428571428572
410,weather_average_minimum_temperature,,,2015,52,,109.71428571428571
411,weather_average_maximum_temperature,,,2015,52,,184.28571428571428
412,weather_total_precipitation,,,2015,53,,223
413,weather_average_temperature,,,2015,53,,80.57142857142857
414,weather_average_minimum_temperature,,,2015,53,,42.857142857142854
415,weather_average_maximum_temperature,,,2015,53,,119.14285714285714
416,weather_total_precipitation,,,2016,1,,200
417,weather_average_temperature,,,2016,1,,34.0
418,weather_average_minimum_temperature,,,2016,1,,-11.571428571428571
419,weather_average_maximum_temperature,,,2016,1,,69.71428571428571
420,weather_total_precipitation,,,2016,2,,97
421,weather_average_temperature,,,2016,2,,28.571428571428573
422,weather_average_minimum_temperature,,,2016,2,,-11.285714285714286
423,weather_average_maximum_temperature,,,2016,2,,71.42857142857143
424,weather_total_precipitation,,,2016,3,,384
425,weather_average_temperature,,,2016,3,,-37.0
426,weather_average_minimum_temperature,,,2016,3,,-66.28571428571429
427,weather_average_maximum_temperature,,,2016,3,,-2.7142857142857144
428,weather_total_precipitation,,,2016,4,,0
429,weather_average_temperature,,,2016,4,,23.857142857142858
430,weather_average_minimum_temperature,,,2016,4,,-26.142857142857142
431,weather_average_maximum_temperature,,,2016,4,,79.42857142857143
432,weather_total_precipitation,,,2016,5,,172
433,weather_average_temperature,,,2016,5,,64.85714285714286
434,weather_average_minimum_temperature,,,2016,5,,23.428571428571427
435,weather_average_maximum_temperature,,,2016,5,,110.42857142857143
436,weather_total_precipitation,,,2016,6,,62
437,weather_average_temperature,,,2016,6,,-15.285714285714286
438,weather_average_minimum_temperature,,,2016,6,,-50.0
439,weather_average_maximum_temperature,,,2016,6,,13.285714285714286
440,weather_total_precipitation,,,2016,7,,317
441,weather_average_temperature,,,2016,7,,37.714285714285715
442,weather_average_minimum_temperature,,,2016,7,,-1.0
443,weather_average_maximum_temperature,,,2016,7,,89.71428571428571
444,weather_total_precipitation,,,2016,8,,411
445,weather_average_temperature,,,2016,8,,68.71428571428571
446,weather_average_minimum_temperature,,,2016,8,,24.0
447,weather_average_maximum_temperature,,,2016,8,,119.71428571428571
448,weather_total_precipitation,,,2016,9,,43
449,weather_average_temperature,,,2016,9,,67.71428571428571
450,weather_average_minimum_temperature,,,2016,9,,19.285714285714285
451,weather_average_maximum_temperature,,,2016,9,,115.85714285714286
452,weather_total_precipitation,,,2016,10,,66
453,weather_average_temperature,,,2016,10,,149.85714285714286
454,weather_average_minimum_temperature,,,2016,10,,93.57142857142857
455,weather_average_maximum_temperature,,,2016,10,,216.0
456,weather_total_precipitation,,,2016,11,,92
457,weather_average_temperature,,,2016,11,,113.42857142857143
458,weather_average_minimum_temperature,,,2016,11,,72.0
459,weather_average_maximum_temperature,,,2016,11,,162.71428571428572
460,weather_total_precipitation,,,2016,12,,13
