"inspection_id","latitude","longitude"
484,38.89385,-77.044086
485,38.89385,-77.044086
486,38.894852,-76.978891
487,38.89385,-77.044086
488,38.89385,-77.044086
489,38.89385,-77.044086
490,38.89385,-77.044086
491,38.89385,-77.044086
492,38.89385,-77.044086
493,38.89385,-77.044086
494,38.89385,-77.044086
495,38.89385,-77.044086
496,38.89385,-77.044086
497,38.89385,-77.044086
498,38.89385,-77.044086
499,38.89385,-77.044086
500,38.89385,-77.044086
501,38.89385,-77.044086
502,38.927798,-76.978301
503,38.899126,-76.97732
504,38.899126,-76.97732
505,38.89385,-77.044086
506,38.89385,-77.044086
507,38.89385,-77.044086
508,38.89385,-77.044086
509,38.89385,-77.044086
510,38.89385,-77.044086
511,38.899118,-76.977286
512,38.89385,-77.044086
513,38.89385,-77.044086
514,38.89385,-77.044086
515,38.89385,-77.044086
516,38.89385,-77.044086
517,38.89385,-77.044086
518,38.898957,-76.977251
519,38.898957,-76.977251
520,38.898957,-76.977251
521,38.898957,-76.977251
522,38.898957,-76.977251
523,38.898949,-76.977217
524,38.898942,-76.977183
525,38.898942,-76.977183
526,38.898942,-76.977183
527,38.898942,-76.977183
528,38.898942,-76.977183
529,38.91399,-76.984287
530,38.91399,-76.984287
531,38.917271,-76.99372
532,38.917271,-76.99372
533,38.917271,-76.99372
534,38.917271,-76.99372
535,38.917271,-76.99372
536,38.917271,-76.99372
537,38.917271,-76.99372
538,38.917271,-76.99372
539,38.917271,-76.99372
540,38.917271,-76.99372
541,38.945341,-76.978701
542,38.945341,-76.978701
543,38.945341,-76.978701
544,38.919145,-77.036496
545,38.919145,-77.036496
546,38.945278,-76.978752
547,38.945278,-76.978752
548,38.945278,-76.978752
549,38.911056,-77.044309
550,38.911056,-77.044309
551,38.911056,-77.044309
552,38.911056,-77.044309
553,38.93316,-76.996184
554,38.93316,-76.996184
555,38.916281,-77.00747
556,38.91721,-76.978053
557,38.91721,-76.978053
558,38.91721,-76.978053
559,38.91721,-76.978053
560,38.916575,-76.973442
561,38.916575,-76.973442
562,38.916575,-76.973442
563,38.916575,-76.973442
564,38.916575,-76.973442
565,38.916575,-76.973442
566,38.897554,-77.009065
567,38.895096,-77.003091
568,38.897554,-77.009065
569,38.897554,-77.009065
570,38.897554,-77.009065
571,38.897554,-77.009065
572,38.897554,-77.009065
573,38.897554,-77.009065
574,38.897554,-77.009065
575,38.897554,-77.009065
576,38.897554,-77.009065
577,38.897554,-77.009065
578,38.895206,-77.003509
579,38.914529,-76.984596
580,38.914529,-76.984596
581,38.914529,-76.984596
582,38.914529,-76.984596
583,38.914529,-76.984596
584,38.917403,-76.972415
585,38.917403,-76.972415
586,38.917403,-76.972415
587,38.897337,-77.003509
588,38.897337,-77.003509
589,38.897337,-77.003509
590,38.897337,-77.003509
591,38.897337,-77.003509
592,38.894779,-77.002461
593,38.894779,-77.002461
594,38.898621,-76.975281
595,38.929539,-77.003721
596,38.929539,-77.003721
597,38.929539,-77.003721
598,38.894953,-77.046018
599,38.894953,-77.046018
600,38.894953,-77.046018
601,38.894953,-77.046018
602,38.894953,-77.046018
603,38.894953,-77.046018
604,38.894953,-77.046018
605,38.929588,-76.975594
606,38.929588,-76.975594
607,38.929588,-76.975594
608,38.929588,-76.975594
609,38.929588,-76.975594
610,38.929588,-76.975594
611,38.929588,-76.975594
612,38.896282,-76.934141
613,38.896282,-76.934141
614,38.896282,-76.934141
615,38.896282,-76.934141
616,38.896282,-76.934141
617,38.956526,-77.0024
618,38.956526,-77.0024
619,38.956526,-77.0024
620,38.913551,-76.988672
621,38.917342,-76.975062
622,38.917342,-76.975062
623,38.929782,-76.974702
624,38.929782,-76.974702
625,38.929782,-76.974702
626,38.919751,-76.972896
627,38.919751,-76.972896
628,38.919751,-76.972896
629,38.918477,-77.000493
630,38.918477,-77.000493
631,38.919782,-76.972913
632,38.919869,-76.973006
633,38.919869,-76.973006
634,38.955739,-77.004216
635,38.95574,-77.004212
636,38.95574,-77.004212
637,38.95574,-77.004212
638,38.95574,-77.004212
639,38.95574,-77.004212
640,38.95574,-77.004212
641,38.95574,-77.004212
642,38.95574,-77.004212
643,38.919413,-76.970839
644,38.919413,-76.970839
645,38.889,-76.988314
646,38.889,-76.988314
647,38.889,-76.988314
648,38.889,-76.988314
649,38.889,-76.988314
650,38.921249,-76.97115
651,38.91742,-76.972493
652,38.91742,-76.972493
653,38.91742,-76.972493
654,38.91742,-76.972493
655,38.919771,-77.000493
656,38.919771,-77.000493
657,38.919771,-77.000493
658,38.917495,-76.972447
659,38.917495,-76.972447
660,38.930271,-76.97359
661,38.930271,-76.97359
662,38.930271,-76.97359
663,38.930271,-76.97359
664,38.930271,-76.97359
