inspection_id,latitude,longitude,census_block
497,38.89385,-77.044086,1045
498,38.89385,-77.044086,1045
499,38.89385,-77.044086,1045
500,38.89385,-77.044086,1045
501,38.89385,-77.044086,1045
502,38.927798,-76.978301,2017
503,38.899126,-76.97732,1000
504,38.899126,-76.97732,1000
505,38.89385,-77.044086,1045
506,38.89385,-77.044086,1045
507,38.89385,-77.044086,1045
508,38.89385,-77.044086,1045
509,38.89385,-77.044086,1045
510,38.89385,-77.044086,1045
511,38.899118,-76.977286,1000
512,38.89385,-77.044086,1045
513,38.89385,-77.044086,1045
514,38.89385,-77.044086,1045
515,38.89385,-77.044086,1045
516,38.89385,-77.044086,1045
517,38.89385,-77.044086,1045
518,38.898957,-76.977251,1000
519,38.898957,-76.977251,1000
520,38.898957,-76.977251,1000
521,38.898957,-76.977251,1000
522,38.898957,-76.977251,1000
523,38.898949,-76.977217,1000
524,38.898942,-76.977183,1000
525,38.898942,-76.977183,1000
526,38.898942,-76.977183,1000
527,38.898942,-76.977183,1000
528,38.898942,-76.977183,1000
529,38.91399,-76.984287,1010
530,38.91399,-76.984287,1010
531,38.917271,-76.99372,2024
532,38.917271,-76.99372,2024
533,38.917271,-76.99372,2024
534,38.917271,-76.99372,2024
535,38.917271,-76.99372,2024
536,38.917271,-76.99372,2024
537,38.917271,-76.99372,2024
538,38.917271,-76.99372,2024
539,38.917271,-76.99372,2024
540,38.917271,-76.99372,2024
541,38.945341,-76.978701,1001
542,38.945341,-76.978701,1001
543,38.945341,-76.978701,1001
544,38.919145,-77.036496,2002
545,38.919145,-77.036496,2002
546,38.945278,-76.978752,1001
547,38.945278,-76.978752,1001
548,38.945278,-76.978752,1001
549,38.911056,-77.044309,1007
550,38.911056,-77.044309,1007
551,38.911056,-77.044309,1007
552,38.911056,-77.044309,1007
553,38.93316,-76.996184,1001
554,38.93316,-76.996184,1001
555,38.916281,-77.00747,2004
556,38.91721,-76.978053,3021
557,38.91721,-76.978053,3021
558,38.91721,-76.978053,3021
559,38.91721,-76.978053,3021
560,38.916575,-76.973442,3019
561,38.916575,-76.973442,3019
562,38.916575,-76.973442,3019
563,38.916575,-76.973442,3019
564,38.916575,-76.973442,3019
565,38.916575,-76.973442,3019
566,38.897554,-77.009065,1008
567,38.895096,-77.003091,2004
568,38.897554,-77.009065,1008
569,38.897554,-77.009065,1008
570,38.897554,-77.009065,1008
571,38.897554,-77.009065,1008
572,38.897554,-77.009065,1008
573,38.897554,-77.009065,1008
574,38.897554,-77.009065,1008
575,38.897554,-77.009065,1008
576,38.897554,-77.009065,1008
577,38.897554,-77.009065,1008
578,38.895206,-77.003509,2002
579,38.914529,-76.984596,1003
580,38.914529,-76.984596,1003
581,38.914529,-76.984596,1003
582,38.914529,-76.984596,1003
583,38.914529,-76.984596,1003
584,38.917403,-76.972415,3023
585,38.917403,-76.972415,3023
586,38.917403,-76.972415,3023
587,38.897337,-77.003509,1004
588,38.897337,-77.003509,1004
589,38.897337,-77.003509,1004
590,38.897337,-77.003509,1004
591,38.897337,-77.003509,1004
592,38.894779,-77.002461,2001
593,38.894779,-77.002461,2001
594,38.898621,-76.975281,1004
595,38.929539,-77.003721,1006
596,38.929539,-77.003721,1006
597,38.929539,-77.003721,1006
598,38.894953,-77.046018,1045
599,38.894953,-77.046018,1045
600,38.894953,-77.046018,1045
601,38.894953,-77.046018,1045
602,38.894953,-77.046018,1045
603,38.894953,-77.046018,1045
604,38.894953,-77.046018,1045
605,38.929588,-76.975594,2019
606,38.929588,-76.975594,2019
