,feature_id,feature_type,feature_subtype,year,week,census_tract_2010,value
493,population,,,2015,,11001009102,5288.0
494,population,,,2015,,11001009201,2261.0
495,population,,,2015,,11001009203,2612.0
496,population,,,2015,,11001009204,2785.0
497,population,,,2015,,11001009301,3204.0
498,population,,,2015,,11001009302,1053.0
499,population,,,2015,,11001009400,4850.0
500,population,,,2015,,11001009501,7088.0
501,population,,,2015,,11001009503,3347.0
502,population,,,2015,,11001009504,3315.0
503,population,,,2015,,11001009505,2701.0
504,population,,,2015,,11001009507,1631.0
505,population,,,2015,,11001009508,3829.0
506,population,,,2015,,11001009509,3485.0
507,population,,,2015,,11001009601,2211.0
508,population,,,2015,,11001009602,3457.0
509,population,,,2015,,11001009603,3014.0
510,population,,,2015,,11001009604,2108.0
511,population,,,2015,,11001009700,3371.0
512,population,,,2015,,11001009801,2159.0
513,population,,,2015,,11001009802,1646.0
514,population,,,2015,,11001009803,2733.0
515,population,,,2015,,11001009804,2778.0
516,population,,,2015,,11001009807,3043.0
517,population,,,2015,,11001009810,2676.0
518,population,,,2015,,11001009811,5018.0
519,population,,,2015,,11001009901,2563.0
520,population,,,2015,,11001009902,2780.0
521,population,,,2015,,11001009903,1828.0
522,population,,,2015,,11001009904,2462.0
523,population,,,2015,,11001009905,2795.0
524,population,,,2015,,11001009906,1521.0
525,population,,,2015,,11001009907,2890.0
526,population,,,2015,,11001010100,2624.0
527,population,,,2015,,11001010200,2537.0
528,population,,,2015,,11001010300,3462.0
529,population,,,2015,,11001010400,4474.0
530,population,,,2015,,11001010500,3418.0
531,population,,,2015,,11001010600,5783.0
532,population,,,2015,,11001010700,1821.0
533,population,,,2015,,11001010800,6289.0
534,population,,,2015,,11001010900,4275.0
535,population,,,2015,,11001011000,3552.0
536,population,,,2015,,11001011100,5490.0
